Field,Type,Null,Key,Default,Extra
WID_LID_DATE,varchar(40),NO,PRI,NULL,
TID,varchar(40),YES,MUL,NULL,
TID_MID,varchar(40),YES,MUL,NULL,
WID,int,YES,MUL,NULL,
LID,int,YES,MUL,NULL,
ATP,int,YES,,NULL,
Location,text,YES,,NULL,
NewDate,text,YES,,NULL,
Series,text,YES,,NULL,
Court,text,YES,,NULL,
Round,text,YES,,NULL,
"Best of",int,YES,,NULL,
WRank,int,YES,,NULL,
LRank,int,YES,,NULL,
W1,int,YES,,NULL,
L1,int,YES,,NULL,
W2,int,YES,,NULL,
L2,int,YES,,NULL,
W3,text,YES,,NULL,
L3,text,YES,,NULL,
W4,text,YES,,NULL,
L4,text,YES,,NULL,
W5,text,YES,,NULL,
L5,text,YES,,NULL,
Wsets,int,YES,,NULL,
Lsets,int,YES,,NULL,
Comment,text,YES,,NULL,
CBW,text,YES,,NULL,
CBL,text,YES,,NULL,
GBW,text,YES,,NULL,
GBL,text,YES,,NULL,
IWW,text,YES,,NULL,
IWL,text,YES,,NULL,
SBW,text,YES,,NULL,
SBL,text,YES,,NULL,
B365W,double,YES,,NULL,
B365L,double,YES,,NULL,
B&WW,text,YES,,NULL,
B&WL,text,YES,,NULL,
EXW,double,YES,,NULL,
EXL,double,YES,,NULL,
PSW,double,YES,,NULL,
PSL,double,YES,,NULL,
WPts,int,YES,,NULL,
LPts,int,YES,,NULL,
UBW,text,YES,,NULL,
UBL,text,YES,,NULL,
LBW,double,YES,,NULL,
LBL,double,YES,,NULL,
SJW,double,YES,,NULL,
SJL,double,YES,,NULL,
MaxW,double,YES,,NULL,
MaxL,double,YES,,NULL,
AvgW,double,YES,,NULL,
AvgL,double,YES,,NULL,
